size,stride,ns
4096,4,0.191698
4096,8,0.046192
4096,16,0.032820
4096,32,0.018120
4096,64,0.010322
4096,128,0.000883
4096,256,0.426933
4096,512,0.494461
4096,1024,0.727940
4096,2048,1.407945
8192,4,0.082101
8192,8,0.073319
8192,16,0.048412
8192,32,0.034110
8192,64,0.017946
8192,128,0.032134
8192,256,0.366674
8192,512,0.439029
8192,1024,0.513548
8192,2048,0.757276
8192,4096,1.356094
16384,4,0.087561
16384,8,0.079021
16384,16,0.061486
16384,32,0.047679
16384,64,0.034069
16384,128,0.012812
16384,256,0.286489
16384,512,0.361027
16384,1024,0.423099
16384,2048,0.496828
16384,4096,0.727198
16384,8192,1.358621
32768,4,0.094669
32768,8,0.085082
32768,16,0.078203
32768,32,0.070335
32768,64,0.049589
32768,128,0.020346
32768,256,0.251265
32768,512,0.287561
32768,1024,0.369554
32768,2048,0.439980
32768,4096,0.516017
32768,8192,0.754562
32768,16384,1.384356
65536,4,0.103153
65536,8,0.092745
65536,16,0.087815
65536,32,0.078278
65536,64,0.071877
65536,128,0.042565
65536,256,0.281321
65536,512,0.249437
65536,1024,0.284692
65536,2048,0.363148
65536,4096,0.432335
65536,8192,0.515367
65536,16384,0.752341
65536,32768,1.390832
131072,4,0.104010
131072,8,0.095058
131072,16,0.094829
131072,32,0.090966
131072,64,0.084341
131072,128,0.076318
131072,256,0.291585
131072,512,0.272579
131072,1024,0.241040
131072,2048,0.286507
131072,4096,0.362620
131072,8192,0.680460
131072,16384,0.496658
131072,32768,0.745573
131072,65536,1.406209
262144,4,0.100222
262144,8,0.092666
262144,16,0.083629
262144,32,0.187835
262144,64,0.549787
262144,128,0.549247
262144,256,1.013639
262144,512,0.959467
262144,1024,2.723389
262144,2048,2.717255
262144,4096,2.849483
262144,8192,3.176082
262144,16384,4.731089
262144,32768,0.512659
262144,65536,0.731647
262144,131072,1.358944
524288,4,0.093599
524288,8,0.090446
524288,16,0.079847
524288,32,0.180915
524288,64,0.542560
524288,128,0.540746
524288,256,0.993295
524288,512,0.937865
524288,1024,2.652388
524288,2048,3.074712
524288,4096,3.919517
524288,8192,4.042350
524288,16384,4.264876
524288,32768,4.259760
524288,65536,0.489246
524288,131072,0.726235
524288,262144,1.362361
1048576,4,0.093364
1048576,8,0.090742
1048576,16,0.082394
1048576,32,0.180098
1048576,64,0.544264
